assignment_group,short_description
AZTEC.GP04.HRIT.01,Super admin and RBP access for Rollout team | Aztech India| Live| Authorization/Access
AZTEC.GP04.HRIT.03,LMS Legacy reports Error | AZ Egypt | Live | <cause code>
AZTEC.GP04.HRIT.01,AZ France employees can't connect to SF | AZ France | Live | < cause code >
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.05,Which eRecruiting user is correct manager?
AZTEC.GP04.HRIT.01,EC Login Denied | AZ UK | Live | < cause code >
AZTEC.GP04.HRIT.05,SAP E-Recruiting:FW: Unable to login to my account
AZTEC.GP04.HRIT.04,URGENT: SuccessFactors Incident / Support Request Template: SF:  no 2017 PM form for Olivier Bonnet? | Euler Hermes | Live | <cause code>
AZTEC.GP04.HRIT.04,Reporting active user | AZ Tech  | Live | < cause code >
AZTEC.GP04.HRIT.05,SAP E-Recruiting:Bewerbungsstatus
AZTEC.GP04.HRIT.04,SuccessFactors Support Request  | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.02,The employee is not reflecting on HCT: | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.01,incorrect Contract Type for several employees | AZ Portugal | Live | < cause code >
AZTEC.GP04.HRIT.03,Invalid Login while connecting to the learning platform | AZ Tech - Austria | Live | <cause code>
AZTEC.GP04.HRIT.01,AIB employees have no access to Success Factors | AZ Tech - Austria | Live | <cause code>
AZTEC.GP04.HRIT.03,Mobility Report request | AZ Spain | Live | < cause code >
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.01,Delete | AZ Portugal | Live | Configuration
AZTEC.GP04.HRIT.05,"3rd / Jobbörse Anmeldeproblem bei ""Jetzt bewerben"""
AZTEC.GP04.HRIT.03,Allianz U: Video cannot be started | AZ Tech - Austria | Live | <cause code>
AZTEC.GP04.HRIT.04,URGENT: SuccessFactors Incident / Support Request Template: SF:  error rooting for Chris Markesteijn's PM form  | Euler Hermes | Live | < cause code >
AZTEC.GP04.HRIT.01,User 1090028609 unable to Login into SF | AZ Germany | Live | <Authorization / Access>
AZTEC.GP04.HRIT.01,User 1090114462 unable to Login to SF | AZ Germany | Live | <Settings>
AZTEC.GP04.HRIT.01,User 12701523 not able to login | AZ Slovakia | Live | <cAuthorization / Access>
AZTEC.GP04.HRIT.04,Request to grant R&P access rights to Matthieu Beignet | AZ France | Live | <cause code>
AZTEC.GP04.HRIT.04,Request to grant certain roles to AZ France users | AZ France | Live | <cause code>
AZTEC.GP04.HRIT.04,Questions Next Care- difference between IECS and ICS | AP | Live | Authorization / Access
AZTEC.GP04.HRIT.03,LMS Issue | AGCS | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Employee Tausib Sayyed: 10203020/ I31060. email address: extern.sayyed_tausib@allianz.com .  | AZ Tech - India | Live | < Authorization/access>
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AZ Partners | Live | < cause code >
AZTEC.GP04.HRIT.04,RE: success factor access issue + hicham Raissi | AZ Singapore | Live | Configuration
AZTEC.GP04.HRIT.06,SF FTP not working | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.06,Emp ID 15021825 Please reset 2FA settings | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|   SAP E-Recruiting: Password expiry issue |SER|REQ MNMT|E-REC|AZTE 
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AZ Switzerland | Live | <cause code>
AZTEC.GP04.HRIT.04,URGENT - Not access to Feeder TU Italy. Spain. South Africa and Netherlands | AGCS | Live | Configuration
AZTEC.GP04.HRIT.04,Export PM Forms for CZE0022 as of November 15. 2020 | AZ Czech Republic | Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|SAP E-Recruiting:User login issue|SER|REQ MNMT|E-REC|AZTE
AZTEC.GP04.HRIT.01,Disable the Step 1 Permission roles and group for CEE countries- 17th Nov
AZTEC.GP04.HRIT.01,Emp ID 10800730 - Please update username in SF to shane.ohara@allianz.com.au | AZ Australia | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Emp ID -  10802993 Please update username in SF to Nuala.OConnor@allianz.com.au | AZ Australia | Live | <Authorization/access>
AZTEC.GP04.HRIT.06,Emp ID 15006766 please reset 2FA settings | AZ Australia | Live | <cause code>
AZTEC.GP04.HRIT.01,Requesting Information on Hire Reason Event and Succession Data | AZ Germany | Live | < cause code > 
AZTEC.GP04.HRIT.06,SFA User cannot log-in to SFA production (OE: AZ AIM / EECS code DE1049) | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.03,Correct the Current performance Interface in legacy | AZ Tech India | Live | Cause Code
AZTEC.GP04.HRIT.03,WG: RE: SuccessFactors Learning Plattform (Virus checked) | AZ tech - Switzerland | Live | <cause code>
